Lot Name,Lot Number,Total Spaces,7:00 am,11:00 am,2:00 pm,4:00 pm
West Stadium Lot,101,221,80% Full,88% Full,89% Full,79% Full
Bernie Moore Lot,104,191,15% Full,8% Full,12% Full,14% Full
Natatorium Lot,105,191,1% Full,48% Full,46% Full,40% Full
Touchdown Village West Lot,314,1364,58% Full,95% Full,99% Full,57% Full
Touchdown Village East Lot,315,1221,99% Full,100% Full,100% Full,98% Full
West Parker Blvd. Lot,316,206,5% Full,15% Full,13% Full,4% Full
South Stadium East Lot,401,328,6% Full,98% Full,98% Full,11% Full
South Stadium West Lot,401,529,3% Full,98% Full,99% Full,7% Full
South Quad Dr. West Lot,403,441,86% Full,90% Full,88% Full,87% Full
Skip Bertman Dr. East Lot,404,641,1% Full,28% Full,22% Full,7% Full
East Parker Blvd. Lot,604,504,9% Full,46% Full,48% Full,16% Full
ECE West Lot,402,285,7% Full,79% Full,83% Full,39% Full
Parker Coliseum Lot,600,494,20% Full,93% Full,73% Full,54% Full

Canal Hall North Lot,111,85,95% Full,87% Full,81% Full,73% Full
Nicholson Gateway North Lot,112,423,93% Full,91% Full,88% Full,86% Full
Beach Volleyball Lot,206,121,93% Full,93% Full,80% Full,79% Full
Spruce Hall Lot,210,125,97% Full,95% Full,97% Full,93% Full
Alaska street Lot (WCA West),211,427,57% Full,53% Full,43% Full,36% Full
Kirby Smith Hall Lot,211,189,97% Full,95% Full,97% Full,93% Full
North Kirby Smith Hall Lot,211,219,54% Full,51% Full,51% Full,52% Full
Aster Street West Lot,212,176,4% Full,6% Full,6% Full,4% Full
Aster Street East Lot,213,200,3% Full,8% Full,9% Full,5% Full
Alaska Street East Lot (Cypress Dr. North),219,266,57% Full,48% Full,34% Full,23% Full
Broussard Circle Lot,220,19,100% Full,94% Full,89% Full,78% Full
Pentagon Lot,220,65,98% Full,92% Full,95% Full,89% Full
Acadian Lot,506,141,95% Full,94% Full,89% Full,86% Full
Blake Hall Lot,507,93,98% Full,95% Full,82% Full,69% Full
Campus Lake Gravel Lot,508,134,91% Full,94% Full,96% Full,89% Full
Herget Hall Lot,508,230,96% Full,93% Full,72% Full,58% Full
