Lot Name,Lot Number,Total Spaces,7:00 am,11:00 am,2:00 pm,4:00 pm
West Stadium Lot,101,221,19% Full,82% Full,79% Full,74% Full
Bernie Moore Lot,104,191,4% Full,89% Full,67% Full,21% Full
Natatorium Lot,105,315,27% Full,32% Full,35% Full,42% Full
Touchdown Village West Lot,314,1364,2% Full,96% Full,92% Full,65% Full
Touchdown Village East Lot,315,1221,1% Full,47% Full,41% Full,21% Full
West Parker Blvd. Lot,316,206,6% Full,16% Full,10% Full,3% Full
South Stadium East Lot,401,328,4% Full,99% Full,99% Full,4% Full
South Stadium West Lot,401,529,3% Full,99% Full,99% Full,4% Full
South Quad Dr. West Lot,403,441,3% Full,97% Full,98% Full,96% Full
Skip Bertman Dr. East Lot,404,641,3% Full,26% Full,24% Full,18% Full
East Parker Blvd. Lot,604,504,10% Full,41% Full,43% Full,1% Full
ECE West Lot,402,285,20% Full,17% Full,86% Full,41% Full
Parker Coliseum Lot,600,494,33% Full,90% Full,89% Full,65% Full

Canal Hall North Lot,111,85,100% Full,96% Full,88% Full,82% Full
Nicholson Gateway North Lot,112,423,97% Full,95% Full,93% Full,96% Full
Beach Volleyball Lot,206,121,100% Full,97% Full,97% Full,98% Full
Spruce Hall Lot,210,125,98% Full,95% Full,93% Full,96% Full
Alaska Street Lot (WCA West),211,427,88% Full,89% Full,85% Full,87% Full
Kirby Smith Hall Lot,211,189,99% Full,98% Full,98% Full,99% Full
North Kirby Smith Hall Lot (WCA North),211,219,55% Full,52% Full,52% Full,53% Full
Aster Street West Lot,212,176,2% Full,7% Full,8% Full,5% Full
Aster Street East Lot,213,200,10% Full,13% Full,14% Full,7% Full
Alaska Street East Lot (Cypress Dr. North),219,266,67% Full,65% Full,76% Full,69% Full
Broussard Circle Lot,220,19,100% Full,100% Full,89% Full,95% Full
Pentagon Lot,220,65,100% Full,100% Full,94% Full,95% Full
Acadian Lot,506,141,99% Full,96% Full,99% Full,87% Full
Blake Hall Lot,507,93,99% Full,98% Full,97% Full,91% Full
Campus Lake Gravel Lot,508,134,96% Full,99% Full,99% Full,93% Full
Herget Hall Lot,508,230,99% Full,98% Full,96% Full,97% Full
Miller Hall Lot,508,177,99% Full,98% Full,95% Full,89% Full
Hill Farm Student Lot,515,298,1% Full,2% Full,2% Full,3% Full
Student Rec West Lot,517,100,86% Full,96% Full,88% Full,94% Full
Parker Coliseum Lot,600,494,33% Full,90% Full,89% Full,65% Full
South Stadium Dr. East Lot,601,125,0% Full,68% Full,74% Full,0% Full
Nicholson Gateway Garage (Level 1),701,134,97% Full,93% Full,85% Full,82% Full
Nicholson Gateway Garage (Level 2),701,146,82% Full,86% Full,62% Full,54% Full
Nicholson Gateway Garage (Level 3),701,170,26% Full,28% Full,25% Full,21% Full
Nicholson Gateway Garage (Level 4),701,171,7% Full,7% Full,5% Full,6% Full
Nicholson Gateway Garage (Level 5),701,178,1% Full,2% Full,2% Full,1% Full
East Campus Apartments (East Lot),504 A,191,97% Full,93% Full,98% Full,97% Full
East Campus Apartments (West Lot),504 B,218,99% Full,93% Full,96% Full,98% Full
Corporate Canal South Lot,518 B,81,81% Full,72% Full,78% Full,85% Full
Campus Lake - South Campus Lot (McVoy Hall),Street,18,89% Full,78% Full,100% Full,100% Full
South Campus Street (Bridge) Lot,Street,105,94% Full,90% Full,92% Full,97% Full
South Stadium / East Parker / Highland Rd. (Street) Lot,Street,172,56% Full,65% Full,61% Full,78% Full

Fraternity Circle Lot,501,94,81% Full,88% Full,91% Full,84% Full
Greek Row Central Lot,521,203,47% Full,61% Full,60% Full,45% Full
Greek Row South Lot,523,84,84% Full,94% Full,80% Full,41% Full
Greek Row North Lot,524,141,0% Full,15% Full,17% Full,0% Full
Fraternity Ln. Lot (Street),500A,25,76% Full,80% Full,84% Full,56% Full
Fraternity Ln. Lot,500B,53,54% Full,75% Full,75% Full,84% Full
Fraternity Ln. East Lot (Gravel),500B,41,53% Full,82% Full,87% Full,68% Full
Fraternity Ln. North Lot,500C,83,90% Full,95% Full,96% Full,89% Full
Greek Row West Lot,520,84,99% Full,98% Full,96% Full,76% Full
West Lakeshore North Lot,513,116,67% Full,99% Full,71% Full,66% Full

West State St. Lot,218,55,71% Full,80% Full,78% Full,69% Full
Donahue Street Lot,220,18,39% Full,94% Full,78% Full,56% Full
Old Band Hall (Gravel) Lot,222,26,23% Full,100% Full,88% Full,50% Full
312 A (Gravel),312,30,53% Full,73% Full,100% Full,97% Full
Public Safety Lot,400,42,19% Full,19% Full,21% Full,21% Full
Hansen's Lot,420,10,30% Full,50% Full,40% Full,20% Full
Vet Med East Lot,421,170,24% Full,77% Full,75% Full,68% Full
Vet Med West Lot,422,113,No Data,No Data,No Data,No Data
Vet Ln. Lot,423,6,No Data,No Data,No Data,No Data
LADDL Lot,424,57,No Data,No Data,No Data,No Data
Warehouse Ln. Lot,425,41,13% Full,30% Full,52% Full,20% Full
University Stores B Lot,430,42,20% Full,30% Full,52% Full,20% Full
U-High North B Lot,510,88,92% Full,97% Full,97% Full,95% Full
U-High South B Lot,511,24,20% Full,50% Full,58% Full,79% Full
Early Learning Center B Lot,On Street,23,54% Full,91% Full,77% Full,86% Full
Nelson Memorial B Lot,603,29,10% Full,52% Full,45% Full,52% Full
Tiger Band Hall B Lot,214 B,6,100% Full,20% Full,100% Full,100% Full
The 5 B Lot,221 A,24,82% Full,92% Full,97% Full,90% Full
Cogen Lot,301 A,26,46% Full,76% Full,76% Full,61% Full
Electrical Engineering B Lot,304 A,117,35% Full,88% Full,88% Full,76% Full
Facility Services Lot (Fieldhouse Dr.),304 C,75,70% Full,76% Full,65% Full,74% Full
Sturgis Hall B Lot (312A),312 B,70,15% Full,100% Full,25% Full,25% Full
E.B. Doran Hall Lot,312 D,44,25% Full,100% Full,100% Full,100% Full
ECE B Lot,402 B,60,1% Full,6% Full,3% Full,1% Full
E.B Doran Hall (Gravel) Lot,On Street,19,10% Full,25% Full,20% Full,20% Full
South Quad B (Gravel) Lot,403 A,55,10% Full,25% Full,20% Full,20% Full
Engineering Ln. Lot,On Street,56,14% Full,28% Full,39% Full,23% Full
Fieldhouse Dr. (Alaska St.) Lot,On Street,19,84% Full,94% Full,89% Full,89% Full
Fieldhouse Dr. (S. Campus Dr.) Lot,On Street,45,95% Full,97% Full,93% Full,93% Full
Forestry Ln. Lot,On Street,15,46% Full,100% Full,100% Full,100% Full
Hospital Ln. Lot,On Street,16,66% Full,100% Full,50% Full,50% Full
Infirmary Rd. Lot,On Street,38,47% Full,60% Full,76% Full,68% Full
Tower Dr. B Lot,On Street,58,70% Full,75% Full,85% Full,85% Full
Parade Grounds North Lot,On Street,40,57% Full,85% Full,93% Full,93% Full
Parade Grounds South Lot,On Street,61,53% Full,100% Full,100% Full,100% Full
North Stadium Dr. Lot,On Street,27,22% Full,85% Full,93% Full,93% Full
Parker Coliseum B Lot,On Street,37,20% Full,92% Full,100% Full,92% Full
