Lot Name,Lot Number,Total Spaces,7:00 am,11:00 am,2:00 pm,4:00 pm
West Stadium Lot,101,221,27% Full,16% Full,17% Full,30% Full
Bernie Moore Lot,104,191,6% Full,14% Full,15% Full,3% Full
Natatorium Lot,105,315,1% full,40% Full,40% Full,2% Full
Touchdown Village West Lot,314,1364,16% Full,93% Full,93% Full,71% Full
Touchdown Village East Lot,315,1221,12% Full,92% Full,92% Full,30% Full
West Parker Blvd. Lot,316,206,12% Full,16% Full,10% Full,4% Full
South Stadium East Lot,401,328,5% Full,96% Full,97% Full,6% Full
South Stadium West Lot,401,529,4% Full,98% Full,98% Full,6% Full
South Quad Dr. West Lot,403,441,5% Full,96% Full,97% Full,6% Full
Skip Bertman Dr. East Lot,404,641,2% Full,28% Full,25% Full,20% Full
East Parker Blvd. Lot,604,504,13% Full,47% Full,42% Full,16% Full
ECE West Lot,402,285,15% Full,87% Full,86% Full,36% Full
Parker Coliseum Lot,600,494,28% Full,100% Full,97% Full,72% Full

Canal Hall North Lot,111,85,98% Full,93% Full,89% Full,87% Full
Nicholson Gateway North Lot,112,423,99% Full,97% Full,93% Full,94% Full
Beach Volleyball Lot,206,121,98% Full,100% Full,100% Full,91% Full
Spruce Hall Lot,210,125,98% Full,98% Full,99% Full,98% Full
Alaska Street Lot (WCA West),211,427,84% Full,85% Full,87% Full,82% Full
Kirby Smith Hall Lot,211,189,99% Full,98% Full,100% Full,100% Full
North Kirby Smith Hall Lot (WCA North),211,219,33% Full,42% Full,36% Full,26% Full
Aster Street West Lot,212,176,2% Full,19% Full,23% Full,5% Full
Aster Street East Lot,213,200,11% Full,10% Full,9% Full,5% Full
Alaska Street East Lot (Cypress Dr. North),219,266,65% Full,67% Full,69% Full,63% Full
Broussard Circle Lot,220,19,95% Full,90% Full,84% Full,95% Full
Pentagon Lot,220,65,97% Full,100% Full,98% Full,91% Full
Acadian Lot,506,141,96% Full,100% Full,100% Full,99% Full
Blake Hall Lot,507,93,99% Full,98% Full,98% Full,98% Full
Campus Lake Gravel Lot,508,134,93% Full,99% Full,98% Full,98% Full
Herget Hall Lot,508,230,98% Full,99% Full,99% Full,99% Full
Miller Hall Lot,508,177,99% Full,99% Full,100% Full,100% Full
Hill Farm Student Lot,515,298,0% Full,0% Full,2% Full,5% Full
Student Rec West Lot,517,100,96% Full,94% Full,98% Full,96% Full
Parker Coliseum Lot,600,494,28% Full,100% Full,97% Full,72% Full
South Stadium Dr. East Lot,601,125,0% Full,94% Full,98% Full,0% Full
Nicholson Gateway Garage (Level 1),701,134,98% Full,99% Full,89% Full,92% Full
