Lot Name,Lot Number,Total Spaces,7:00 am,11:00 am,2:00 pm,4:00 pm
West Stadium Lot,101,221,19% Full,82% Full,79% Full,74% Full
Bernie Moore Lot,104,191,4% Full,89% Full,67% Full,21% Full
Natatorium Lot,105,315,27% Full,32% Full,35% Full,42% Full
Touchdown Village West Lot,314,1364,2% Full,96% Full,92% Full,65% Full
Touchdown Village East Lot,315,1221,1% Full,47% Full,41% Full,21% Full
West Parker Blvd. Lot,316,206,6% Full,16% Full,10% Full,3% Full
South Stadium East Lot,401,328,4% Full,99% Full,99% Full,4% Full
South Stadium West Lot,401,529,3% Full,99% Full,99% Full,4% Full
South Quad Dr. West Lot,403,441,3% Full,97% Full,98% Full,96% Full
Skip Bertman Dr. East Lot,404,641,3% Full,26% Full,24% Full,18% Full
East Parker Blvd. Lot,604,504,16% Full,48% Full,42% Full,85% Full
ECE West Lot,402,285,20% Full,17% Full,86% Full,41% Full
Parker Coliseum Lot,600,494,36% Full,99% Full,91% Full,73% Full

Canal Hall North Lot,111,85,100% Full,88% Full,85% Full,75% Full
Nicholson Gateway North Lot,112,423,98% Full,93% Full,88% Full,86% Full
Beach Volleyball Lot,206,121,97% Full,98% Full,97% Full,97% Full
Spruce Hall Lot,210,125,98% Full,95% Full,97% Full,98% Full
Alaska Street Lot (WCA West),211,427,85% Full,84% Full,86% Full,85% Full
Kirby Smith Hall Lot,211,189,99% Full,96% Full,99% Full,99% Full
North Kirby Smith Hall Lot (WCA North),211,219,54% Full,65% Full,53% Full,52% Full
Aster Street West Lot,212,176,5% Full,16% Full,20% Full,3% Full
Aster Street East Lot,213,200,10% Full,10% Full,11% Full,8% Full
Alaska Street East Lot (Cypress Dr. North),219,266,65% Full,68% Full,68% Full,48% Full
Broussard Circle Lot,220,19,100% Full,100% Full,95% Full,95% Full
Pentagon Lot,220,65,100% Full,100% Full,98% Full,97% Full
Acadian Lot,506,141,96% Full,100% Full,98% Full,99% Full
Blake Hall Lot,507,93,99% Full,98% Full,98% Full,98% Full
Campus Lake Gravel Lot,508,134,92% Full,97% Full,98% Full,94% Full
Herget Hall Lot,508,230,98% Full,99% Full,98% Full,98% Full
Miller Hall Lot,508,177,99% Full,98% Full,98% Full,99% Full
Hill Farm Student Lot,515,298,0% Full,0% Full,98% Full,90% Full
Student Rec West Lot,517,100,88% Full,92% Full,90% Full,94% Full
Parker Coliseum Lot,600,494,36% Full,99% Full,91% Full,73% Full
South Stadium Dr. East Lot,601,125,0% Full,78% Full,90% Full,0% Full
Nicholson Gateway Garage (Level 1),701,134,93% Full,96% Full,88% Full,78% Full
Nicholson Gateway Garage (Level 2),701,146,87% Full,88% Full,71% Full,55% Full
Nicholson Gateway Garage (Level 3),701,170,32% Full,30% Full,25% Full,24% Full
Nicholson Gateway Garage (Level 4),701,171,8% Full,8% Full,8% Full,6% Full
Nicholson Gateway Garage (Level 5),701,178,0% Full,2% Full,1% Full,0% Full
East Campus Apartments (East Lot),504 A,191,100% Full,99% Full,100% Full,100% Full
East Campus Apartments (West Lot),504 B,218,100% Full,99% Full,100% Full,100% Full
Corporate Canal South Lot,518 B,81,86% Full,70% Full,84% Full,78% Full
Campus Lake - South Campus Lot (McVoy Hall),Street,18,83% Full,83% Full,89% Full,100% Full
South Campus Street (Bridge) Lot,Street,105,93% Full,91% Full,95% Full,97% Full
South Stadium / East Parker / Highland Rd. (Street) Lot,Street,172,61% Full,73% Full,62% Full,60% Full

Fraternity Circle Lot,501,94,77% Full,87% Full,93% Full,83% Full
Greek Row Central Lot,521,203,44% Full,62% Full,69% Full,48% Full
Greek Row South Lot,523,84,88% Full,95% Full,96% Full,57% Full
Greek Row North Lot,524,141,0% Full,19% Full,36% Full,3% Full
Fraternity Ln. Lot (Street),500A,25,52% Full,68% Full,80% Full,44% Full
Fraternity Ln. Lot,500B,53,54% Full,91% Full,87% Full,85% Full
Fraternity Ln. East Lot (Gravel),500B,41,80% Full,78% Full,71% Full,66% Full
Fraternity Ln. North Lot,500C,83,94% Full,96% Full,90% Full,83% Full
Greek Row West Lot,520,84,98% Full,99% Full,94% Full,57% Full
West Lakeshore North Lot,513,116,59% Full,81% Full,67% Full,64% Full

West State St. Lot,218,55,78% Full,85% Full,76% Full,73% Full
Donahue Street Lot,220,18,11% Full,100% Full,33% Full,78% Full
Old Band Hall (Gravel) Lot,222,26,73% Full,15% Full,8% Full,15% Full
312 A (Gravel),312,30,13% Full,27% Full,100% Full,73% Full
Public Safety Lot,400,42,19% Full,19% Full,21% Full,21% Full
Hansen's Lot,420,10,20% Full,20% Full,20% Full,10% Full
Vet Med East Lot,421,170,21% Full,25% Full,75% Full,61% Full
Vet Med West Lot,422,113,No Data,No Data,No Data,No Data
Vet Ln. Lot,423,6,No Data,No Data,No Data,No Data
LADDL Lot,424,57,No Data,No Data,No Data,No Data
Warehouse Ln. Lot,425,41,13% Full,30% Full,50% Full,60% Full
University Stores B Lot,430,42,20% Full,30% Full,30% Full,25% Full
U-High North B Lot,510,88,93% Full,99% Full,99% Full,98% Full
U-High South B Lot,511,24,79% Full,71% Full,75% Full,46% Full
Early Learning Center B Lot,On Street,23,54% Full,91% Full,77% Full,86% Full
Nelson Memorial B Lot,603,29,31% Full,52% Full,58% Full,44% Full
Tiger Band Hall B Lot,214 B,6,17% Full,0% Full,100% Full,83% Full
The 5 B Lot,221 A,24,95% Full,92% Full,95% Full,82% Full
Cogen Lot,301 A,26,65% Full,88% Full,96% Full,62% Full
Electrical Engineering B Lot,304 A,117,40% Full,94% Full,97% Full,76% Full
Facility Services Lot (Fieldhouse Dr.),304 C,75,67% Full,85% Full,89% Full,84% Full
Sturgis Hall B Lot (312A),312 B,70,14% Full,94% Full,97% Full,87% Full
E.B. Doran Hall Lot,312 D,44,32% Full,100% Full,100% Full,100% Full
ECE B Lot,402 B,60,32% Full,100% Full,100% Full,100% Full
E.B Doran Hall (Gravel) Lot,On Street,19,20% Full,80% Full,90% Full,75% Full
South Quad B (Gravel) Lot,403 A,55,2% Full,4% Full,5% Full,7% Full
Engineering Ln. Lot,On Street,56,14% Full,28% Full,39% Full,23% Full
Fieldhouse Dr. (Alaska St.) Lot,On Street,19,21% Full,100% Full,100% Full,100% Full
Fieldhouse Dr. (S. Campus Dr.) Lot,On Street,45,98% Full,100% Full,98% Full,100% Full
Forestry Ln. Lot,On Street,15,87% Full,93% Full,93% Full,100% Full
Hospital Ln. Lot,On Street,16,0% Full,17% Full,83% Full,83% Full
Infirmary Rd. Lot,On Street,38,3% Full,92% Full,97% Full,95% Full
Tower Dr. B Lot,On Street,58,78% Full,80% Full,95% Full,85% Full
Parade Grounds North Lot,On Street,40,50% Full,100% Full,98% Full,100% Full
Parade Grounds South Lot,On Street,61,31% Full,100% Full,100% Full,90% Full
North Stadium Dr. Lot,On Street,27,67% Full,74% Full,56% Full,41% Full
Parker Coliseum B Lot,On Street,37,76% Full,100% Full,100% Full,87% Full
